User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
1000275,Hansen,P00129642,F,26-35,33,Unmarried,Andhra Pradesh,Southern,Media,Clothing & Apparel,2,"? 6,934.00"
1000277,Maris,P00110842,M,36-45,42,Married,Maharashtra,Western,Banking,Electronics & Gadgets,4,"? 8,081.00"
1000295,Nishi,P00110742,F,18-25,22,Married,Uttar Pradesh,Central,Lawyer,Electronics & Gadgets,4,"? 7,856.00"
1000297,Priyanka,P00148642,F,18-25,24,Married,Karnataka,Southern,Banking,Food,4,"? 15,340.00"
1000298,Preis,P00328342,M,18-25,23,Married,Karnataka,Southern,Chemical,Tupperware,3,"? 16,753.00"
1000304,Hawley,P00067842,F,26-35,32,Married,Maharashtra,Western,Automobile,Sports Products,3,"? 8,154.00"
1000309,Kastensmidt,P0097242,F,26-35,26,Unmarried,Maharashtra,Western,Media,Food,4,"? 8,016.00"
1000316,Zrebassa,P00206742,F,55+,77,Married,Uttarakhand,Central,Media,Clothing & Apparel,4,"? 3,565.00"
1000328,Hamilton,P00125942,F,36-45,36,Unmarried,Andhra Pradesh,Southern,Textile,Furniture,1,"? 12,566.00"
1000330,Kipp,P00085342,F,55+,60,Unmarried,Gujarat,Western,Govt,Food,4,"? 11,555.00"
1000332,Peter,P00045542,F,51-55,51,Married,Uttar Pradesh,Central,Aviation,Furniture,1,"? 16,178.00"
1000342,Tillman,P00003242,F,18-25,22,Married,Kerala,Southern,Chemical,Electronics & Gadgets,3,"? 5,934.00"
1000346,Sathya,P00351142,M,26-35,29,Unmarried,Delhi,Central,Food Processing,Clothing & Apparel,1,"? 7,020.00"
1000356,Nirja,P00181842,F,55+,91,Unmarried,Delhi,Central,Chemical,Food,1,"? 3,971.00"
1000359,Tim,P00193642,F,26-35,26,Married,Karnataka,Southern,Govt,Clothing & Apparel,2,"? 8,573.00"
1000360,Willman,P00187442,F,36-45,45,Unmarried,Uttarakhand,Central,Chemical,Pet Care,4,"? 2,106.00"
1000369,Demir,P00100842,F,36-45,40,Unmarried,Madhya Pradesh,Central,Hospitality,Electronics & Gadgets,1,"? 7,894.00"
1000374,Daniel,P00288642,M,36-45,42,Married,Maharashtra,Western,Banking,Clothing & Apparel,1,"? 6,912.00"
1000375,Elliston,P00295242,F,26-35,29,Unmarried,Maharashtra,Western,Aviation,Household items,1,"? 3,022.00"
1000378,Max,P0097742,M,18-25,19,Unmarried,Uttar Pradesh,Central,Agriculture,Clothing & Apparel,3,"? 7,018.00"
1000382,Anderson,P00084242,M,36-45,36,Unmarried,Maharashtra,Western,Automobile,Electronics & Gadgets,2,"? 10,000.00"
1000393,Amol,P0097742,F,36-45,38,Unmarried,Uttarakhand,Central,Govt,Clothing & Apparel,2,"? 5,238.00"
1000396,Currie,P00132242,F,26-35,30,Unmarried,Madhya Pradesh,Central,Construction,Electronics & Gadgets,1,"? 9,997.00"
1000397,Flentye,P00117942,F,36-45,43,Unmarried,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,2,"? 4,391.00"
1000398,Ritsa,P00147942,F,26-35,30,Unmarried,Uttar Pradesh,Central,Govt,Clothing & Apparel,3,"? 7,135.00"
1000399,Sue,P00255742,M,36-45,44,Married,Jharkhand,Eastern,IT Sector,Food,3,"? 11,544.00"
1000403,Rohan,P00193542,F,18-25,18,Married,Rajasthan,Northern,Banking,Electronics & Gadgets,3,"? 5,993.00"
1000406,Coakley,P00282642,F,26-35,31,Unmarried,Madhya Pradesh,Central,Govt,Clothing & Apparel,4,"? 5,192.00"
1000408,Sukrith,P00119042,M,26-35,30,Unmarried,Delhi,Central,Aviation,Household items,2,"? 3,039.00"
1000410,Kane,P00319042,M,26-35,28,Married,Maharashtra,Western,Construction,Clothing & Apparel,2,"? 7,003.00"
1000413,Janet,P00029242,F,26-35,30,Unmarried,Andhra Pradesh,Southern,Banking,Food,2,"? 12,081.00"
1000415,McCrary,P00159542,M,36-45,45,Unmarried,Uttar Pradesh,Central,Agriculture,Food,3,"? 11,974.00"
1000418,Uudhav,P00110942,M,26-35,34,Unmarried,Punjab,Northern,Construction,Electronics & Gadgets,3,"? 6,088.00"
1000420,Aaron,P00136842,F,36-45,45,Unmarried,Maharashtra,Western,Banking,Clothing & Apparel,4,"? 6,900.00"
1000422,Hawkins,P00132042,F,55+,64,Married,Andhra Pradesh,Southern,Aviation,Clothing & Apparel,4,"? 8,900.00"
1000430,Ben,P00141542,M,18-25,23,Married,Madhya Pradesh,Central,Automobile,Electronics & Gadgets,4,"? 7,884.00"
1000434,Sink,P00121342,M,46-50,47,Unmarried,Himachal Pradesh,Northern,Retail,Clothing & Apparel,1,"? 7,037.00"
1000435,Shahid,P00045342,F,26-35,33,Unmarried,Himachal Pradesh,Northern,Healthcare,Games & Toys,2,"? 3,420.00"
1000436,Crier,P00109742,F,18-25,19,Unmarried,Madhya Pradesh,Central,Automobile,Electronics & Gadgets,4,"? 7,991.00"
1000437,Frank,P00101942,F,36-45,45,Unmarried,Andhra Pradesh,Southern,IT Sector,Electronics & Gadgets,2,"? 7,800.00"
1000443,Utkarsh,P00028542,F,26-35,30,Married,Uttar Pradesh,Central,Agriculture,Food,2,"? 8,174.00"
1000446,Eaton,P00031142,M,51-55,51,Unmarried,Maharashtra,Western,Hospitality,Furniture,3,"? 16,599.00"
1000463,Sneha,P00129642,F,26-35,28,Unmarried,Delhi,Central,IT Sector,Footwear & Shoes,3,"? 12,242.00"
1000464,Arun,P00158742,M,18-25,19,Married,Uttar Pradesh,Central,Healthcare,Electronics & Gadgets,1,"? 8,001.00"
1000467,Jordon,P00036842,M,36-45,36,Unmarried,Maharashtra,Western,Textile,Stationery,1,"? 16,995.00"
1000477,VanderZanden,P00278042,F,36-45,45,Married,Kerala,Southern,Banking,Electronics & Gadgets,4,"? 9,855.00"
1000478,Reese,P00005042,F,51-55,55,Married,Himachal Pradesh,Northern,IT Sector,Electronics & Gadgets,4,"? 9,894.00"
1000485,Schoenberger,P00324942,M,55+,69,Unmarried,Karnataka,Southern,Healthcare,Footwear & Shoes,1,"? 4,784.00"
1000492,Navdeep,P00274942,F,26-35,26,Unmarried,Delhi,Central,Govt,Footwear & Shoes,4,"? 12,337.00"
1000493,Ruben,P00219942,F,51-55,52,Married,Himachal Pradesh,Northern,Textile,Clothing & Apparel,4,"? 7,026.00"
1000496,Hudgings,P00046742,F,18-25,21,Married,Andhra Pradesh,Southern,Govt,Electronics & Gadgets,2,"? 5,934.00"
1000500,Matthias,P00003642,M,18-25,21,Married,Telangana,Southern,IT Sector,Electronics & Gadgets,1,"? 7,860.00"
1000504,Poddar,P00229942,F,26-35,33,Unmarried,Himachal Pradesh,Northern,IT Sector,Electronics & Gadgets,2,"? 7,866.00"
1000508,Noshiba,P00016742,F,26-35,31,Unmarried,Maharashtra,Western,Automobile,Clothing & Apparel,4,"? 8,702.00"
1000510,Rane,P00127842,F,18-25,20,Married,Delhi,Central,IT Sector,Food,4,"? 11,869.00"
1000511,Saphhira,P00144942,M,46-50,50,Unmarried,Himachal Pradesh,Northern,Healthcare,Clothing & Apparel,2,"? 1,857.00"
1000514,Roelle,P00289942,F,26-35,32,Unmarried,Himachal Pradesh,Northern,Banking,Clothing & Apparel,1,"? 7,112.00"
1000521,Zydlo,P00036442,M,55+,69,Married,Uttarakhand,Central,Food Processing,Footwear & Shoes,3,"? 12,792.00"
1000529,Stobb,P00112442,F,36-45,39,Married,Jharkhand,Eastern,Aviation,Clothing & Apparel,3,"? 5,232.00"
1000534,Connell,P00157642,F,26-35,30,Married,Madhya Pradesh,Central,IT Sector,Food,2,"? 11,668.00"
1000536,Armstrong,P00118742,F,26-35,28,Unmarried,Maharashtra,Western,Construction,Games & Toys,1,"? 16,181.00"
1000540,Badders,P00115642,F,18-25,18,Unmarried,Maharashtra,Western,Govt,Food,3,"? 11,865.00"
1000548,Saunders,P00237542,M,36-45,42,Married,Karnataka,Southern,Aviation,Clothing & Apparel,1,"? 8,902.00"
1000554,Vivian,P00270242,M,26-35,26,Unmarried,Rajasthan,Northern,Healthcare,Clothing & Apparel,3,"? 5,459.00"
1000555,Mautz,P00172842,F,18-25,20,Married,Bihar,Eastern,Textile,Clothing & Apparel,4,"? 7,033.00"
1000557,Marc,P00057642,M,55+,69,Married,Maharashtra,Western,Aviation,Footwear & Shoes,3,"? 12,237.00"
1000565,Mike,P00226342,F,26-35,28,Married,Uttar Pradesh,Central,Agriculture,Electronics & Gadgets,2,"? 5,947.00"
1000567,Patt,P00288942,F,36-45,43,Married,Karnataka,Southern,Healthcare,Footwear & Shoes,2,"? 12,606.00"
1000569,Turnell,P00137242,M,18-25,21,Married,Uttar Pradesh,Central,Banking,Food,2,"? 11,908.00"
1000573,Patel,P00025442,M,36-45,36,Unmarried,Haryana,Northern,Aviation,Food,2,"? 7,884.00"
1000576,Lindsay,P00102642,M,46-50,50,Unmarried,Uttar Pradesh,Central,IT Sector,Games & Toys,4,"? 10,008.00"
1000577,Blacks,P00034042,M,36-45,39,Married,Madhya Pradesh,Central,Textile,Household items,4,"? 2,392.00"
1000584,Swetlana,P00085242,M,26-35,35,Unmarried,Maharashtra,Western,IT Sector,Electronics & Gadgets,4,"? 7,860.00"
1000585,Manisha,P00319842,M,18-25,22,Married,Uttar Pradesh,Central,Textile,Electronics & Gadgets,4,"? 6,031.00"
1000586,Keith,P00184942,F,36-45,45,Unmarried,Uttar Pradesh,Central,Banking,Games & Toys,4,"? 13,058.00"
1000593,Jaideep,P00350942,M,51-55,55,Married,Delhi,Central,Banking,Clothing & Apparel,4,"? 7,060.00"
1000594,Manju,P00319042,M,55+,59,Married,Uttar Pradesh,Central,Banking,Clothing & Apparel,3,"? 8,870.00"
1000602,Pinky,P00159542,M,55+,89,Unmarried,Delhi,Central,Retail,Sports Products,3,"? 8,057.00"
1000603,Packer,P00330442,M,26-35,34,Unmarried,Uttar Pradesh,Central,IT Sector,Games & Toys,1,"? 16,348.00"
1000605,Sperren,P00154642,M,18-25,20,Married,Jharkhand,Eastern,Aviation,Footwear & Shoes,2,"? 12,671.00"
1000607,Manisha,P00184942,F,26-35,26,Married,Delhi,Central,Hospitality,Household items,2,"? 3,126.00"
1000608,Brumfield,P00288542,F,18-25,21,Married,Maharashtra,Western,Hospitality,Hand & Power Tools,4,"? 4,250.00"
1000609,Mathew,P00295942,M,26-35,35,Unmarried,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,2,"? 12,788.00"
1000612,Sweed,P00327842,F,51-55,52,Unmarried,Jharkhand,Eastern,IT Sector,Clothing & Apparel,3,"? 3,562.00"
1000613,Vikash,P00054242,F,36-45,45,Married,Uttar Pradesh,Central,Media,Food,2,"? 19,119.00"
1000631,Mukesh,P00224142,F,36-45,44,Unmarried,Karnataka,Southern,Healthcare,Food,1,"? 19,342.00"
1000633,Maurice,P00022742,F,26-35,30,Unmarried,Telangana,Southern,Retail,Food,4,"? 3,994.00"
1000634,Shillingsburg,P00198142,F,0-17,16,Married,Uttar Pradesh,Central,Hospitality,Clothing & Apparel,3,"? 7,089.00"
1000635,Speros,P00114142,F,55+,60,Unmarried,Karnataka,Southern,Media,Clothing & Apparel,4,"? 6,911.00"
1000636,Shariari,P00145442,F,18-25,19,Married,Uttar Pradesh,Central,Lawyer,Clothing & Apparel,2,"? 6,915.00"
1000656,Doug,P00156442,M,46-50,47,Married,Maharashtra,Western,IT Sector,Clothing & Apparel,2,"? 5,232.00"
1000670,Swetha,P00103342,F,26-35,31,Married,Delhi,Central,Agriculture,Footwear & Shoes,1,"? 16,553.00"
1000673,Odegard,P00210042,F,26-35,26,Unmarried,Uttar Pradesh,Central,Chemical,Clothing & Apparel,3,"? 6,991.00"
1000674,Yash,P00002142,M,26-35,26,Unmarried,Delhi,Central,Aviation,Household items,1,"? 3,785.00"
1000675,Barry,P00255542,F,26-35,29,Married,Madhya Pradesh,Central,Agriculture,Footwear & Shoes,3,"? 8,709.00"
1000679,Oakman,P00237542,F,36-45,38,Married,Haryana,Northern,Agriculture,Electronics & Gadgets,4,"? 9,813.00"
1000685,Arun,P00000142,F,26-35,33,Married,Delhi,Central,Hospitality,Veterinary,1,"? 1,394.00"
1000693,Suraj,P00274442,F,36-45,38,Unmarried,Delhi,Central,IT Sector,Footwear & Shoes,1,"? 12,790.00"
1000697,Marina,P00021742,M,51-55,52,Married,Bihar,Eastern,IT Sector,Electronics & Gadgets,2,"? 9,885.00"
1000698,Grove,P00186642,F,18-25,20,Married,Andhra Pradesh,Southern,Banking,Food,1,"? 11,809.00"
1000701,Akshata,P00028842,M,18-25,25,Unmarried,Maharashtra,Western,Media,Clothing & Apparel,1,"? 7,192.00"
1000704,Nathan,P00364842,M,36-45,37,Unmarried,Telangana,Southern,Automobile,Food,2,"? 15,644.00"
1000709,Sarah,P00179842,F,18-25,22,Unmarried,Himachal Pradesh,Northern,Chemical,Clothing & Apparel,4,"? 8,870.00"
1000729,Ordway,P00057942,F,36-45,43,Unmarried,Karnataka,Southern,Chemical,Footwear & Shoes,1,"? 16,382.00"
1000730,Company,P00237542,F,26-35,35,Unmarried,Madhya Pradesh,Central,Banking,Sports Products,4,"? 10,669.00"
1000738,McAdams,P00307342,M,18-25,20,Married,Uttar Pradesh,Central,Banking,Food,4,"? 19,603.00"
1000741,Coyne,P00179442,F,26-35,32,Unmarried,Madhya Pradesh,Central,Banking,Food,2,"? 15,294.00"
1000745,Murry,P00113242,F,0-17,13,Unmarried,Haryana,Northern,Aviation,Clothing & Apparel,1,"? 1,735.00"
1000747,Watters,P00112142,F,18-25,21,Married,Kerala,Southern,Lawyer,Clothing & Apparel,1,"? 5,295.00"
1000748,Clytie,P00112642,F,26-35,35,Unmarried,Maharashtra,Western,Chemical,Clothing & Apparel,4,"? 5,172.00"
1000750,Mugdha,P00109842,M,36-45,43,Married,Delhi,Central,Banking,Games & Toys,1,"? 6,702.00"
1000759,Ober,P00237442,M,55+,91,Married,Haryana,Northern,Banking,Clothing & Apparel,1,"? 3,602.00"
1000760,Barchas,P00068442,F,55+,76,Unmarried,Delhi,Central,Hospitality,Pet Care,4,"? 3,455.00"
1000761,Cousins,P00293242,F,18-25,23,Married,Madhya Pradesh,Central,Banking,Food,4,"? 19,214.00"
1000762,Ducich,P00127442,F,0-17,17,Married,Uttar Pradesh,Central,Lawyer,Food,3,"? 15,605.00"
1000778,Sagar,P00114942,F,18-25,19,Unmarried,Uttar Pradesh,Central,Healthcare,Sports Products,3,"? 10,764.00"
1000785,Anna,P00066542,F,18-25,25,Married,Delhi,Central,Govt,Beauty,2,"? 3,023.00"
1000786,Brooks,P00363242,F,26-35,31,Unmarried,Maharashtra,Western,Aviation,Footwear & Shoes,2,"? 12,834.00"
1000797,Akin,P00004642,M,51-55,53,Married,Maharashtra,Western,IT Sector,Clothing & Apparel,2,"? 7,017.00"
1000801,Trafton,P00174442,M,26-35,33,Married,Kerala,Southern,Chemical,Electronics & Gadgets,2,"? 2,308.00"
1000807,Pistole,P00051142,F,18-25,21,Unmarried,Uttar Pradesh,Central,Chemical,Clothing & Apparel,3,"? 6,856.00"
1000810,Lonsdale,P00058042,F,26-35,34,Unmarried,Maharashtra,Western,Media,Food,4,"? 12,024.00"
1000814,Hwang,P00144042,M,18-25,19,Unmarried,Andhra Pradesh,Southern,Construction,Pet Care,4,? 739.00
1000817,Tracy,P00235342,F,18-25,18,Married,Karnataka,Southern,Construction,Clothing & Apparel,4,"? 5,342.00"
1000818,Stevenson,P00015642,F,18-25,21,Unmarried,Uttar Pradesh,Central,Healthcare,Clothing & Apparel,2,"? 8,644.00"
1000820,Moray,P00368642,F,36-45,43,Married,Bihar,Eastern,IT Sector,Food,2,"? 19,637.00"
1000827,Tyler,P00124742,F,46-50,47,Unmarried,Kerala,Southern,Healthcare,Electronics & Gadgets,3,"? 6,007.00"
1000832,James,P00174442,F,18-25,22,Unmarried,Andhra Pradesh,Southern,Banking,Food,2,"? 11,667.00"
1000842,Devendra,P00295842,M,18-25,23,Unmarried,Delhi,Central,Healthcare,Clothing & Apparel,3,"? 7,026.00"
1000844,Angele,P00201342,F,26-35,32,Married,Uttar Pradesh,Central,Retail,Veterinary,4,"? 1,768.00"
1000857,Lela,P00085642,F,36-45,45,Married,Bihar,Eastern,Healthcare,Electronics & Gadgets,3,"? 4,251.00"
1000863,Alex,P00284842,F,26-35,35,Married,Maharashtra,Western,Textile,Pet Care,3,"? 2,801.00"
1000866,Dartt,P00035542,F,0-17,12,Unmarried,Uttar Pradesh,Central,Healthcare,Food,4,"? 15,880.00"
1000867,Bhawna,P00120742,F,46-50,49,Unmarried,Uttarakhand,Central,Govt,Clothing & Apparel,3,"? 6,952.00"
1000871,Holt,P00216342,F,0-17,16,Unmarried,Andhra Pradesh,Southern,Healthcare,Electronics & Gadgets,1,"? 7,794.00"
1000873,Brendan,P00065742,F,55+,87,Married,Madhya Pradesh,Central,Banking,Beauty,4,"? 1,695.00"
1000876,Aromal,P00219942,F,26-35,26,Married,Uttar Pradesh,Central,Chemical,Food,2,"? 19,499.00"
1000878,Sukruta,P00330342,F,18-25,18,Unmarried,Uttar Pradesh,Central,Banking,Sports Products,1,"? 8,045.00"
1000883,Anand,P00310042,M,36-45,43,Married,Delhi,Central,Govt,Games & Toys,1,"? 9,742.00"
1000888,Liz,P00010742,F,0-17,12,Unmarried,Maharashtra,Western,IT Sector,Food,2,"? 19,284.00"
1000897,Phalguni,P00005042,F,26-35,34,Unmarried,Delhi,Central,IT Sector,Food,3,"? 11,903.00"
1000898,Knutson,P00328042,F,26-35,35,Unmarried,Jharkhand,Eastern,Healthcare,Electronics & Gadgets,2,"? 9,997.00"
1000900,Skaria,P00317842,M,55+,83,Unmarried,Karnataka,Southern,Automobile,Auto,3,"? 23,513.00"
1000907,Guthrie,P00120942,M,46-50,47,Unmarried,Andhra Pradesh,Southern,Banking,Electronics & Gadgets,4,"? 5,899.00"
1000910,Paul,P00085442,M,51-55,51,Married,Karnataka,Southern,IT Sector,Electronics & Gadgets,1,"? 2,140.00"
1000925,Davis,P00102642,M,36-45,37,Unmarried,Madhya Pradesh,Central,Construction,Electronics & Gadgets,2,"? 5,858.00"
1000926,Rosenberg,P00085942,F,0-17,14,Unmarried,Himachal Pradesh,Northern,Hospitality,Clothing & Apparel,3,"? 6,978.00"
1000927,Aimee,P00017742,M,26-35,31,Unmarried,Delhi,Central,Chemical,Clothing & Apparel,2,"? 8,724.00"
1000928,Hemant,P00134342,M,55+,92,Unmarried,Uttar Pradesh,Central,Healthcare,Food,4,"? 4,139.00"
